probe_axis,ZH,FR,FAS,NLD,UKR,BUL,IND,DEU
abaya | black->gold,0.07539966702461243,0.02314135432243347,-0.17512203752994537,0.11464060842990875,-0.021458998322486877,0.1412796676158905,0.16889803111553192,-0.014437586069107056
ancestor day | elder->youth,-0.19688907265663147,-0.12952770292758942,-0.08291620016098022,-0.08179087936878204,0.02090294659137726,-0.13222303986549377,-0.10938189923763275,-0.27557241916656494
ancestor day | fasting->feasting,-0.18837019801139832,0.04193642735481262,0.05193495750427246,-0.2356054186820984,-0.08844082057476044,0.12859955430030823,0.07738080620765686,0.09900879859924316
ancestor day | hierarchy->equality,0.0520741231739521,-0.06979537755250931,-0.1992918998003006,0.27177339792251587,0.08692462742328644,-0.008546724915504456,0.11752977222204208,0.34510090947151184
ancestor day | honor->shame,-0.09510912746191025,-0.29471033811569214,-0.013311848044395447,-0.11822627484798431,-0.09584473073482513,0.060229748487472534,-0.1240396648645401,-0.12358107417821884
ancestor day | individualism->collectivism,-0.3698723316192627,-0.14189442992210388,-0.21202263236045837,-0.16059064865112305,-0.13254770636558533,0.04343477636575699,-0.12495200335979462,-0.12243124842643738
ancestor day | kin->stranger,-0.05469237267971039,-0.08983725309371948,-0.14789733290672302,0.10238070040941238,-0.07081809639930725,-0.11011388897895813,-0.1202709823846817,0.1110597774386406
ancestor day | lineage->mobility,0.21484152972698212,-0.08235257863998413,-0.3225037455558777,0.21213655173778534,0.009180948138237,-0.1677456945180893,0.20971712470054626,0.009852314367890358
ancestor day | lunar->solar,0.20521076023578644,0.23774003982543945,0.026487387716770172,0.051804911345243454,-0.12182261049747467,0.31521034240722656,-0.05562834441661835,0.3345482647418976
ancestor day | mother->father,-0.25699371099472046,-0.1428496241569519,0.19545002281665802,-0.1869516372680664,-0.17934933304786682,-0.06423419713973999,-0.16319361329078674,0.025968648493289948
ancestor day | mourning->celebration,-0.2677869498729706,-0.16601476073265076,-0.18292559683322906,0.04095153883099556,-0.048598796129226685,-0.1587756872177124,0.012919098138809204,-0.04455602169036865
ancestor day | obedience->autonomy,0.2040490210056305,-0.05065165460109711,0.0799388736486435,-0.16624021530151367,0.03877102583646774,0.27518171072006226,0.1264531910419464,0.13846895098686218
ancestor day | pilgrim->spectator,-0.14278644323349,-0.18789583444595337,-0.2155713438987732,0.02408626675605774,0.08728678524494171,0.00968143343925476,-0.15203943848609924,-0.15641668438911438
ancestor day | pilgrimage->tourism,0.10244470834732056,-0.0004931986331939697,-0.19671468436717987,-0.3189758062362671,-0.08519201725721359,-0.13788005709648132,0.0020853132009506226,-0.18408694863319397
ancestor day | prayer->reason,0.03178223967552185,-0.1504577100276947,-0.4606677293777466,-0.14383527636528015,-0.18054601550102234,-0.014989644289016724,-0.13495862483978271,-0.12358731031417847
ancestor day | restraint->indulgence,0.12640266120433807,-0.10842177271842957,0.2500689625740051,-0.023454681038856506,-0.2673543393611908,-0.021572157740592957,0.018900379538536072,0.01129111647605896
ancestor day | ritual->routine,0.002420373260974884,-0.11981175094842911,-0.2567417025566101,-0.24070151150226593,-0.17690223455429077,-0.014987871050834656,-0.29992014169692993,-0.050586432218551636
ancestor day | sacred->secular,0.09301464259624481,-0.010363079607486725,0.20981638133525848,0.0733061134815216,-0.06077329069375992,-0.02622467279434204,0.0759822279214859,0.11254220455884933
ancestor day | solidarity->competition,0.05504010617733002,0.037660177797079086,0.011303789913654327,0.2720864415168762,-0.024417812004685402,-0.020014958456158638,-0.056264713406562805,0.12144917249679565
ancestor day | taboo->permissive,0.014402031898498535,-0.11983951926231384,-0.08259870111942291,-0.04955895245075226,-0.20298147201538086,-0.15453264117240906,0.07419154047966003,-0.2513691186904907
ancestor day | tradition->modernity,0.19371578097343445,-0.0020122751593589783,-0.010106943547725677,-0.09215430170297623,0.03892584890127182,0.2052375078201294,0.014574237167835236,-0.10886567085981369
ancestor worship | ancestor->novelty,-0.10760809481143951,-0.07681682705879211,-0.051594361662864685,0.07431542873382568,0.058613717555999756,0.10612908005714417,0.04897870123386383,0.010218441486358643
ancestor worship | black->gold,-0.05804440379142761,0.07156170904636383,-0.07371322810649872,0.1732945740222931,0.05272845923900604,0.10106593370437622,0.09178513288497925,0.14097215235233307
ancestor worship | dragon->eagle,-0.2166513204574585,-0.19896285235881805,-0.055113404989242554,0.057136520743370056,0.2666196823120117,0.217962384223938,0.05275683104991913,0.192427396774292
ancestor worship | fasting->feasting,-0.19286756217479706,0.010817080736160278,-0.036736294627189636,-0.1438439041376114,-0.1722838282585144,0.09827651083469391,0.185337096452713,0.22608382999897003
ancestor worship | lotus->rose,-0.2573833763599396,-0.057514846324920654,-0.2767612040042877,0.03670918941497803,-0.14581087231636047,-0.04187914729118347,-0.042289942502975464,-0.1728297770023346
ancestor worship | lunar->solar,0.18962590396404266,0.19386017322540283,0.12003422528505325,0.04071423411369324,-0.08121699094772339,0.3548244833946228,-0.05069277808070183,0.3242897093296051
ancestor worship | mourning->celebration,-0.36599406599998474,-0.22128477692604065,-0.15124298632144928,-0.07023293524980545,-0.15186753869056702,-0.2509976923465729,-0.08536916971206665,-0.09313314408063889
ancestor worship | pilgrim->spectator,-0.17477969825267792,-0.16359642148017883,-0.22426137328147888,-0.048671722412109375,0.06214605271816254,0.05481180548667908,-0.22365085780620575,-0.2362399399280548
ancestor worship | pilgrimage->tourism,-0.056104809045791626,-0.15720950067043304,-0.2776263952255249,-0.36840683221817017,-0.2728704810142517,-0.13397295773029327,-0.1647317111492157,-0.22822919487953186
ancestor worship | prayer->reason,0.04477888345718384,-0.1632964164018631,-0.30290624499320984,-0.09346601366996765,-0.09971624612808228,0.030789554119110107,-0.08880609273910522,-0.0184001624584198
ancestor worship | ritual->routine,-0.2134164422750473,-0.15154433250427246,-0.3037571310997009,-0.30096861720085144,-0.3537858724594116,0.012707903981208801,-0.33906009793281555,-0.11321724951267242
ancestor worship | sacred->secular,0.06131448224186897,0.056214213371276855,0.2693142294883728,0.043952807784080505,-0.05507996678352356,-0.08765965700149536,0.0036613941192626953,0.054618917405605316
ancestor worship | script->image,0.002547740936279297,0.18619796633720398,-0.1532684862613678,0.016383394598960876,-0.06256169080734253,0.046572245657444,0.08696679770946503,0.1316937357187271
ancestor worship | taboo->permissive,0.021833479404449463,-0.14042207598686218,0.055526405572891235,-0.02438187599182129,-0.19648043811321259,-0.19048745930194855,0.04902273416519165,-0.2864490747451782
ancestor worship | white->red,0.04536823183298111,0.24721786379814148,0.09506143629550934,0.1045236885547638,0.18246008455753326,0.23962266743183136,0.11439011991024017,0.06124323233962059
ancestor | black->gold,-0.003883078694343567,0.02045460045337677,-0.05595976114273071,0.21642464399337769,0.13950644433498383,0.12956002354621887,0.06550146639347076,0.12540283799171448
ancestor | clan->individual,0.2257934808731079,-0.01685255765914917,-0.10770364850759506,0.07509559392929077,0.022862091660499573,0.29937928915023804,0.06492068618535995,0.10539912432432175
ancestor | dragon->eagle,-0.07278129458427429,-0.1772690713405609,-0.04847924783825874,0.08177092671394348,0.2242169976234436,0.26964086294174194,0.09401176869869232,0.23526614904403687
ancestor | elder->youth,-0.21507373452186584,-0.27556169033050537,-0.16407880187034607,-0.15494003891944885,0.01131739467382431,-0.1847192496061325,-0.19262021780014038,-0.38403886556625366
ancestor | formal->casual,-0.15278580784797668,-0.24519889056682587,-0.2231961488723755,0.010469990782439709,-0.07239145785570145,-0.06958548724651337,-0.05820029601454735,-0.3022376596927643
ancestor | kin->stranger,-0.10734562575817108,-0.07146213948726654,-0.15971636772155762,0.16415058076381683,-0.02274671196937561,-0.1392132043838501,-0.24250663816928864,0.13500401377677917
ancestor | lineage->mobility,0.18440161645412445,-0.07071654498577118,-0.22715893387794495,0.22803178429603577,-0.10186445713043213,-0.16256526112556458,0.14608049392700195,0.022051021456718445
ancestor | lotus->rose,-0.20207901298999786,-0.04996126890182495,-0.21445001661777496,-0.0003153979778289795,-0.08461566269397736,-0.024316608905792236,-0.0283890962600708,-0.13592737913131714
ancestor | modest->revealing,-0.28110191226005554,-0.2149522453546524,-0.29396358132362366,-0.08913911879062653,0.016535598784685135,-0.08399257808923721,-0.12984170019626617,-0.10997897386550903
ancestor | mother->father,-0.2344842255115509,-0.15573695302009583,0.12689326703548431,-0.25297456979751587,-0.07760913670063019,-0.09819220751523972,-0.18464583158493042,-0.025412142276763916
ancestor | ornate->plain,0.041097939014434814,0.22836843132972717,0.07894442975521088,0.17997689545154572,0.1804371178150177,0.04062242805957794,-0.03264078497886658,-0.059765636920928955
ancestor | script->image,-0.11994077265262604,0.10885660350322723,-0.137001633644104,-0.03479874134063721,-0.1343861073255539,-0.05552133172750473,0.08854430913925171,0.1262769103050232
ancestor | uniform->personalized,0.47222715616226196,0.05713973194360733,0.16464871168136597,0.2676346004009247,0.08806821703910828,0.31828388571739197,0.04807742312550545,0.23732873797416687
