probe_axis,ZH,FR,FAS,NLD,UKR,BUL,IND,DEU
abaya | black->gold,0.10504680871963501,-0.1590169221162796,-0.357143372297287,-0.14245250821113586,-0.3195251524448395,-0.12506112456321716,0.1166767030954361,-0.27465304732322693
advent | pilgrim->spectator,-0.27258384227752686,-0.09811168909072876,-0.3031279742717743,-0.31537824869155884,-0.3138550817966461,-0.14585958421230316,-0.30944451689720154,-0.011120602488517761
advent | pilgrimage->tourism,0.08666415512561798,-0.48166802525520325,0.10869869589805603,-0.005150154232978821,-0.059708014130592346,-0.19188770651817322,-0.010541178286075592,-0.07069757580757141
advent | prayer->reason,0.06192304193973541,-0.017722219228744507,0.002686426043510437,0.06264883279800415,0.051123619079589844,0.13625067472457886,-0.02891121804714203,-0.07635083794593811
advent | ritual->routine,0.09773918986320496,0.08520738035440445,-0.054207172244787216,-0.20760485529899597,-0.08895957469940186,0.18151108920574188,0.36320042610168457,0.029008371755480766
advent | sacred->secular,0.13430550694465637,0.040275249630212784,0.3396625816822052,-0.393330842256546,-0.12449383735656738,-0.11042095720767975,0.09755158424377441,-0.050813041627407074
advent | script->image,-0.3166792392730713,0.030513085424900055,-0.2042275071144104,-0.06738391518592834,-0.15238076448440552,0.18150757253170013,-0.11821451038122177,-0.11967969685792923
advent | taboo->permissive,0.1286475658416748,-0.16776710748672485,0.14326097071170807,-0.10088121891021729,-0.2235405147075653,0.09227030724287033,-0.035090118646621704,-0.09864640235900879
advent | white->red,0.15319998562335968,-0.2631882429122925,0.12150029093027115,-0.2095801681280136,0.05592525005340576,0.13975870609283447,-0.35647791624069214,-0.436576247215271
all saints day | ancestor->novelty,-0.1578574776649475,-0.05760863423347473,0.02168101817369461,-0.2030867040157318,-0.5285863280296326,-0.03324996680021286,-0.0020344331860542297,0.060108233243227005
all saints day | black->gold,-0.32789504528045654,-0.019285880029201508,-0.20435738563537598,-0.13046643137931824,-0.2447999119758606,-0.014469660818576813,-0.1482350081205368,-0.10190905630588531
all saints day | dragon->eagle,0.006777584552764893,0.08287964761257172,-0.15709178149700165,0.014200687408447266,0.203505739569664,-0.0028118789196014404,-0.04936445504426956,0.24656696617603302
all saints day | fasting->feasting,-0.20150330662727356,0.043804481625556946,0.5064809918403625,-0.06239995360374451,0.44466206431388855,0.24388016760349274,0.1932077556848526,0.10830308496952057
all saints day | lotus->rose,-0.20578621327877045,-0.04395591467618942,-0.09379872679710388,0.44056302309036255,0.09778115898370743,0.11801864206790924,0.023177772760391235,0.14491206407546997
all saints day | lunar->solar,0.06906062364578247,-0.09973269701004028,0.011524200439453125,-0.0027058273553848267,-0.09520202875137329,0.3041689395904541,0.08773277699947357,0.2897127866744995
all saints day | mourning->celebration,-0.0037955790758132935,-0.06801066547632217,-0.12083066254854202,0.011466512456536293,0.24025827646255493,-0.13465644419193268,0.11099739372730255,0.0327780582010746
all saints day | pilgrim->spectator,-0.6611467599868774,-0.3655754625797272,-0.623708188533783,-0.275820255279541,-0.4890163838863373,-0.5386696457862854,-0.39427900314331055,-0.1595693826675415
all saints day | pilgrimage->tourism,0.1635993868112564,-0.22254815697669983,-0.011002164334058762,-0.010792948305606842,-0.024965185672044754,-0.20068112015724182,0.19002871215343475,0.23176109790802002
all saints day | prayer->reason,0.42544007301330566,0.08699245750904083,-0.22086574137210846,0.1827632337808609,0.05639339238405228,0.1555464267730713,-0.02618047036230564,-0.059283297508955
all saints day | ritual->routine,-0.032667145133018494,-0.1272738128900528,-0.11677615344524384,-0.17789354920387268,0.21656657755374908,0.06759969890117645,-0.0030830055475234985,-0.021241193637251854
all saints day | sacred->secular,-0.18636740744113922,0.007829107344150543,0.08111805468797684,-0.3902200758457184,0.1440965086221695,0.0039331018924713135,0.1089060828089714,0.026044905185699463
all saints day | script->image,0.0694454163312912,0.005869559943675995,-0.27787092328071594,-0.044961802661418915,0.09456546604633331,0.0062370747327804565,0.18015319108963013,0.09252804517745972
all saints day | taboo->permissive,0.10449855029582977,-0.0006858184933662415,0.17329078912734985,0.018617689609527588,-0.05032705143094063,0.22437550127506256,0.09739455580711365,-0.2241874486207962
all saints day | white->red,0.30172809958457947,-0.10793274641036987,0.14812630414962769,-0.1564050316810608,0.2240787148475647,0.2639622092247009,-0.15049177408218384,-0.14824175834655762
altar | ancestor->novelty,0.007271148264408112,-0.02997611276805401,-0.07725581526756287,0.16075843572616577,-0.3697609007358551,-0.022641517221927643,-0.016761042177677155,0.21340593695640564
altar | black->gold,-0.2352474331855774,-0.14459365606307983,-0.38675457239151,-0.3984834551811218,-0.06841753423213959,-0.05367515981197357,0.05433502793312073,-0.22950094938278198
altar | dragon->eagle,-0.26263004541397095,0.261416494846344,-0.07841698080301285,0.3711203634738922,0.08958589285612106,0.008455781266093254,0.24394983053207397,0.43598365783691406
altar | fasting->feasting,-0.20733314752578735,-0.19823332130908966,0.25742387771606445,-0.281048059463501,0.05308971181511879,0.2642771303653717,0.46340277791023254,-0.002564758062362671
altar | lotus->rose,0.19466733932495117,-0.018390841782093048,0.1029462143778801,0.5909221172332764,0.12794461846351624,0.16932092607021332,-0.12143892794847488,0.22809141874313354
altar | lunar->solar,0.2441808432340622,-0.1754087507724762,-0.04263812303543091,-0.013870403170585632,0.08382175862789154,0.47605738043785095,-0.12278041243553162,0.09188079833984375
altar | mourning->celebration,-0.24234738945960999,-0.025061264634132385,-0.04283355548977852,-0.022075170651078224,-0.18467122316360474,-0.0843638926744461,-0.05073462426662445,0.13199809193611145
altar | pilgrim->spectator,-0.45884770154953003,-0.2980611324310303,-0.48711246252059937,-0.35386866331100464,-0.2938705384731293,-0.18344396352767944,-0.3607577681541443,-0.2801281809806824
