scope,repr_type,model_a,model_b,normalization,axis_abs_projection_diff_mean,axis_abs_projection_diff_max,axis_signed_projection_diff_mean,axes_used,axes_skipped,neutral_projection_sd_a_mean,neutral_projection_sd_b_mean,cultural_norm_a_mean,cultural_norm_b_mean
final,embedding_matrix,en_50m,en_ind_a,neutral_z,0.7129636639356614,5.091583251953125,-0.02380804740358144,50,0,0.16295618534088135,0.19515033274888993,1.3389452695846558,1.5765572786331177
final,embedding_matrix,en_50m,en_deu_a,row_l2,0.08771789118647576,0.4744083881378174,-0.001587016866542399,50,0,,,1.0,1.0
final,embedding_matrix,en_50m,en_deu_a,neutral_z,0.7322409296035767,5.225973129272461,0.01645308292005211,50,0,0.16295627862215042,0.19982944518327714,1.3389453887939453,1.5568584203720093
final,embedding_matrix,en_100m,en_zh_a,row_l2,0.10472087413072587,0.5112945437431335,-0.013878959999419748,50,0,,,1.0,1.0
final,embedding_matrix,en_100m,en_zh_a,neutral_z,0.7973852574825286,5.641606330871582,-0.024331863429397346,50,0,0.201958966255188,0.22229936659336091,1.7187138795852661,1.4772119522094727
final,embedding_matrix,en_100m,en_fr_a,row_l2,0.08464033797383308,0.4241412580013275,-0.003145300536416471,50,0,,,1.0,1.0
final,embedding_matrix,en_100m,en_fr_a,neutral_z,0.7510690128803253,5.79571533203125,0.01550729174632579,50,0,0.20195886820554734,0.184330098927021,1.7187135219573975,1.6349390745162964
final,embedding_matrix,en_100m,en_fas_a,row_l2,0.10449161127209664,0.5430811643600464,-0.01378720037464518,50,0,,,1.0,1.0
final,embedding_matrix,en_100m,en_fas_a,neutral_z,0.7859222412109375,4.942264556884766,-0.043065413888543846,50,0,0.2019589239358902,0.2182730284333229,1.7187137603759766,1.4759756326675415
final,embedding_matrix,en_100m,en_nld_a,row_l2,0.09041338980197906,0.46364519000053406,-0.005085561709929607,50,0,,,1.0,1.0
final,embedding_matrix,en_100m,en_nld_a,neutral_z,0.7388661193847657,5.419647216796875,0.0026934698410332205,50,0,0.20195890545845033,0.2097630274295807,1.718713641166687,1.586435317993164
final,embedding_matrix,en_100m,en_ukr_a,row_l2,0.10396902740001679,0.5678386092185974,0.004558797846548259,50,0,,,1.0,1.0
final,embedding_matrix,en_100m,en_ukr_a,neutral_z,0.7842468786239624,4.632412433624268,0.01652057306841016,50,0,0.20195895195007324,0.22819690972566606,1.718713641166687,1.5120580196380615
final,embedding_matrix,en_100m,en_bul_a,row_l2,0.09125373646616936,0.4998241662979126,-0.005560417945962399,50,0,,,1.0,1.0
final,embedding_matrix,en_100m,en_bul_a,neutral_z,0.7290788900852203,5.651350975036621,0.008578073575627058,50,0,0.20195887714624405,0.20036212533712386,1.718713641166687,1.5063374042510986
final,embedding_matrix,en_100m,en_ind_a,row_l2,0.0890954314172268,0.4999701678752899,0.0001096935267560184,50,0,,,1.0,1.0
final,embedding_matrix,en_100m,en_ind_a,neutral_z,0.7548397207260131,5.544466972351074,-0.03300976441358216,50,0,0.20195889919996263,0.19515033274888993,1.718713641166687,1.5765572786331177
final,embedding_matrix,en_100m,en_deu_a,row_l2,0.09004058718681335,0.44094735383987427,-0.005616654295881745,50,0,,,1.0,1.0
final,embedding_matrix,en_100m,en_deu_a,neutral_z,0.7541887152194977,5.41969108581543,0.0072513318061828615,50,0,0.20195891231298446,0.19982944518327714,1.718713641166687,1.5568584203720093
final,pre_lmhead_contextual,en_50m,en_zh_a,row_l2,0.14728306993842125,0.7976254224777222,0.004416038189083338,50,0,,,1.0,1.0
final,pre_lmhead_contextual,en_50m,en_zh_a,neutral_z,0.8645703601837158,8.054458618164062,-0.11413402054924518,50,0,2.137967460155487,1.835584135055542,17.335800170898438,13.69180679321289
final,pre_lmhead_contextual,en_50m,en_fr_a,row_l2,0.13094851583242417,0.6775388717651367,-0.003912913873791695,50,0,,,1.0,1.0
final,pre_lmhead_contextual,en_50m,en_fr_a,neutral_z,0.8380631351470947,6.950325012207031,0.02216671120375395,50,0,2.137967014312744,1.993050413131714,17.335803985595703,16.79068374633789
final,pre_lmhead_contextual,en_50m,en_fas_a,row_l2,0.14976960122585298,0.8263481259346008,-0.0038791192602366208,50,0,,,1.0,1.0
