step,language,repr_type,axis_abs_projection_diff_mean,jaccard_at_k_mean,frobenius_cultural_similarity,procrustes_anchor_residual_per_anchor
3000,IND,pre_lmhead_contextual,3.3565865349769592,0.7846923068784358,0.15400311279296874,0.20536277262369793
500,NLD,embedding_matrix,0.06688288778066635,0.615082645770803,0.08742279815673829,0.02548492177327474
1000,NLD,embedding_matrix,0.12370477184653282,0.6406576495461203,0.11335049438476562,0.03786448923746745
1500,NLD,embedding_matrix,0.14821651935577393,0.6414990878434398,0.11792594146728516,0.042988240559895835
2000,NLD,embedding_matrix,0.1528213793039322,0.6396280166675187,0.11735591125488282,0.044319753011067706
2500,NLD,embedding_matrix,0.15250123426318168,0.6368819033741383,0.11652925872802734,0.044220855712890625
3000,NLD,embedding_matrix,0.15150565028190613,0.635340351094283,0.11584523010253907,0.04392852274576823
500,NLD,pre_lmhead_contextual,2.800188407897949,0.8581341368611838,0.14546034240722655,0.2063541259765625
1000,NLD,pre_lmhead_contextual,2.2756098461151124,0.8224146848553121,0.17193316650390625,0.17474501546223958
1500,NLD,pre_lmhead_contextual,2.5217768597602843,0.8234534385397619,0.21606362915039062,0.18198785400390624
2000,NLD,pre_lmhead_contextual,2.631000635623932,0.8014854001795494,0.1760990295410156,0.19463203938802084
2500,NLD,pre_lmhead_contextual,3.0353127264976503,0.7859696907862044,0.13702984619140626,0.20598319498697917
3000,NLD,pre_lmhead_contextual,3.25391818523407,0.7781882444577436,0.13439666748046875,0.2143048095703125
500,UKR,embedding_matrix,0.08297297060489654,0.6493167294642185,0.11956034851074218,0.02562126922607422
1000,UKR,embedding_matrix,0.13437863916158677,0.6639560128101525,0.13797076416015625,0.03835693613688151
1500,UKR,embedding_matrix,0.15776872426271438,0.6665220402963141,0.14356820678710938,0.04362330118815104
2000,UKR,embedding_matrix,0.1655728530883789,0.6737342545735698,0.1442135467529297,0.04508830261230469
2500,UKR,embedding_matrix,0.1677693873643875,0.6684285008659847,0.14413900756835937,0.04506486002604167
3000,UKR,embedding_matrix,0.16716550946235656,0.6661998076023952,0.14318673706054688,0.04482867431640625
500,UKR,pre_lmhead_contextual,3.162358059883118,0.8875363132866373,0.15137980651855468,0.2096484578450521
1000,UKR,pre_lmhead_contextual,2.234228160381317,0.8358922278390203,0.16050074768066405,0.16943009440104168
