model_a,model_b,layer,head,axis_abs_projection_diff_mean
en_50m,en_nld_a,5,9,483.70061859130857
en_50m,en_nld_a,5,10,518.0487133789062
en_50m,en_nld_a,5,11,468.74084320068357
en_50m,en_nld_a,6,0,762.941845703125
en_50m,en_nld_a,6,1,544.8145108032227
en_50m,en_nld_a,6,2,383.95816711425783
en_50m,en_nld_a,6,3,480.3716732788086
en_50m,en_nld_a,6,4,502.51069580078126
en_50m,en_nld_a,6,5,450.6601641845703
en_50m,en_nld_a,6,6,436.1236990356445
en_50m,en_nld_a,6,7,515.8166522216796
en_50m,en_nld_a,6,8,1496.365670776367
en_50m,en_nld_a,6,9,495.0755822753906
en_50m,en_nld_a,6,10,518.2104364013671
en_50m,en_nld_a,6,11,470.2126461791992
en_50m,en_ukr_a,4,0,971.4919674682617
en_50m,en_ukr_a,4,1,1326.9550476074219
en_50m,en_ukr_a,4,2,521.9922036743164
en_50m,en_ukr_a,4,3,356.2290280151367
en_50m,en_ukr_a,4,4,645.1775024414062
en_50m,en_ukr_a,4,5,388.70274841308594
en_50m,en_ukr_a,4,6,399.5645428466797
en_50m,en_ukr_a,4,7,614.0282415771485
en_50m,en_ukr_a,4,8,405.4092956542969
en_50m,en_ukr_a,4,9,333.8401770019531
en_50m,en_ukr_a,4,10,354.2884817504883
en_50m,en_ukr_a,4,11,522.1674719238281
en_50m,en_ukr_a,5,0,988.6810586547851
en_50m,en_ukr_a,5,1,1406.7360385131835
en_50m,en_ukr_a,5,2,511.4107965087891
en_50m,en_ukr_a,5,3,365.16339599609375
en_50m,en_ukr_a,5,4,648.5515524291992
en_50m,en_ukr_a,5,5,398.00779205322266
en_50m,en_ukr_a,5,6,415.0160028076172
en_50m,en_ukr_a,5,7,606.4840267944336
en_50m,en_ukr_a,5,8,402.1776983642578
en_50m,en_ukr_a,5,9,321.9123065185547
en_50m,en_ukr_a,5,10,358.8908999633789
en_50m,en_ukr_a,5,11,523.5351596069336
en_50m,en_ukr_a,6,0,982.8155661010742
en_50m,en_ukr_a,6,1,1364.499679260254
en_50m,en_ukr_a,6,2,513.5136514282226
en_50m,en_ukr_a,6,3,380.8004049682617
en_50m,en_ukr_a,6,4,624.2698962402344
en_50m,en_ukr_a,6,5,415.93566131591797
en_50m,en_ukr_a,6,6,418.03857482910155
en_50m,en_ukr_a,6,7,594.7715881347656
en_50m,en_ukr_a,6,8,405.62527740478515
en_50m,en_ukr_a,6,9,317.9446124267578
en_50m,en_ukr_a,6,10,378.9583218383789
en_50m,en_ukr_a,6,11,525.1612600708008
en_50m,en_zh_a,4,0,728.5265710449219
