scope,repr_type,model_a,model_b,layer,normalization,axis_abs_projection_diff_mean,axis_abs_projection_diff_max,axis_signed_projection_diff_mean,axes_used,axes_skipped,neutral_projection_sd_a_mean,neutral_projection_sd_b_mean,cultural_norm_a_mean,cultural_norm_b_mean
layerwise,hidden_state,en_50m,en_fr_a,1,neutral_z,0.8281990838050842,7.250749111175537,0.009532711231149732,50,0,627.7521954345704,995.154755859375,3524.27294921875,5447.03564453125
layerwise,hidden_state,en_50m,en_fr_a,2,row_l2,0.1509602364897728,0.6975489854812622,-0.01419189157895744,50,0,,,1.0000001192092896,1.0
layerwise,hidden_state,en_50m,en_fr_a,2,neutral_z,0.8315782970190049,7.635645866394043,0.0035289123887196185,50,0,638.6855676269531,1013.2435302734375,3841.04443359375,6161.94677734375
layerwise,hidden_state,en_50m,en_fr_a,3,row_l2,0.13480857983231545,0.6099119186401367,-0.011994184348732234,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_fr_a,3,neutral_z,0.8302345931529999,7.633506774902344,0.0047200810350477695,50,0,647.3259582519531,1014.3060314941406,4352.083984375,7241.25830078125
layerwise,hidden_state,en_50m,en_fr_a,4,row_l2,0.12883979976177215,0.6141995787620544,-0.012896935390308499,50,0,,,0.9999998807907104,1.0
layerwise,hidden_state,en_50m,en_fr_a,4,neutral_z,0.8312103408575058,7.680181980133057,0.004413863176596351,50,0,648.8250463867188,1013.813115234375,4686.2529296875,7592.32470703125
layerwise,hidden_state,en_50m,en_fr_a,5,row_l2,0.12812504991889,0.6413929462432861,-0.013349638336221688,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_fr_a,5,neutral_z,0.8262119007110595,7.665694236755371,0.004767010305076837,50,0,652.6369757080079,1016.2069152832031,4662.6728515625,7882.2822265625
layerwise,hidden_state,en_50m,en_fr_a,6,row_l2,0.12522421434521674,0.6476033926010132,-0.013155727700795978,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_fr_a,6,neutral_z,0.8261076807975769,7.653622627258301,-0.005819748514331877,50,0,649.7170764160156,1011.5042749023437,4805.36767578125,8061.05078125
layerwise,hidden_state,en_50m,en_fr_a,7,row_l2,0.12248154297471046,0.6651874780654907,-0.011131690181791783,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_fr_a,7,neutral_z,0.823691394329071,7.301674842834473,-0.0033542034402489662,50,0,635.148583984375,1002.653134765625,4787.13134765625,8200.697265625
layerwise,hidden_state,en_50m,en_fr_a,8,row_l2,0.119900973290205,0.6350104808807373,-0.013899352177977562,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_fr_a,8,neutral_z,0.8336714488267899,7.293539047241211,-0.002109141945838928,50,0,604.9811260986328,996.9882360839844,4746.205078125,8522.89453125
layerwise,hidden_state,en_50m,en_fr_a,9,row_l2,0.1193373927474022,0.6770503520965576,-0.012707307437667624,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_fr_a,9,neutral_z,0.8295724141597748,7.619476795196533,0.0072128638811409474,50,0,588.2340362548828,981.6012573242188,4761.77587890625,8504.126953125
layerwise,hidden_state,en_50m,en_fr_a,10,row_l2,0.12165167048573494,0.6534490585327148,-0.011210349835455418,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_fr_a,10,neutral_z,0.8307308709621429,8.122708320617676,0.0007221511378884316,50,0,597.6624963378906,1010.2958618164063,4917.27685546875,8765.412109375
layerwise,hidden_state,en_50m,en_fr_a,11,row_l2,0.12194927133619786,0.6138662099838257,-0.009368289355188608,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_fr_a,11,neutral_z,0.8426437246799469,8.286638259887695,0.003326404355466366,50,0,651.48943359375,1099.6690881347656,5695.62109375,9686.1796875
layerwise,hidden_state,en_50m,en_fr_a,12,row_l2,0.13071732312440873,0.676862895488739,-0.004180151622276754,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_fr_a,12,neutral_z,0.837689328789711,6.9732842445373535,0.022261318353703246,50,0,2.137811496257782,1.9932104277610778,17.336801528930664,16.792613983154297
layerwise,hidden_state,en_50m,en_fas_a,0,row_l2,0.09778015315532684,0.621852695941925,-0.009757564592946437,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_fas_a,0,neutral_z,0.7585511380434036,5.916571617126465,-0.033863631105050446,50,0,0.16295624956488608,0.2182730284333229,1.3389452695846558,1.4759756326675415
layerwise,hidden_state,en_50m,en_fas_a,1,row_l2,0.14310579374432564,0.8117493391036987,-0.008791806317167356,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_fas_a,1,neutral_z,0.8148614680767059,7.467920303344727,-0.038701226748526094,50,0,627.7523248291016,1438.872830810547,3524.2734375,8920.029296875
layerwise,hidden_state,en_50m,en_fas_a,2,row_l2,0.12928399741649627,0.77585768699646,-0.008248318396508693,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_fas_a,2,neutral_z,0.8117187523841858,7.572393417358398,-0.039656648524105546,50,0,638.685361328125,1432.9064135742187,3841.044189453125,10177.876953125
layerwise,hidden_state,en_50m,en_fas_a,3,row_l2,0.12095434337854385,0.732284426689148,-0.006081076298141852,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_fas_a,3,neutral_z,0.8104110836982727,7.682525157928467,-0.03735902384854853,50,0,647.3261920166016,1419.9292724609375,4352.083984375,10731.51953125
layerwise,hidden_state,en_50m,en_fas_a,4,row_l2,0.11532540500164032,0.7263005971908569,-0.007674873350188136,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_fas_a,4,neutral_z,0.8088501191139221,7.651431083679199,-0.03908476923592388,50,0,648.8250335693359,1399.6522387695313,4686.25390625,11221.65234375
layerwise,hidden_state,en_50m,en_fas_a,5,row_l2,0.11446160435676575,0.7671308517456055,-0.010499651823192836,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_fas_a,5,neutral_z,0.8126039159297943,7.326898574829102,-0.03124079329892993,50,0,652.6369476318359,1371.098779296875,4662.6728515625,11444.6943359375
layerwise,hidden_state,en_50m,en_fas_a,6,row_l2,0.11255289942026138,0.7809687852859497,-0.008406480513513089,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_fas_a,6,neutral_z,0.8112572705745698,7.446057319641113,-0.028650498911738397,50,0,649.7171319580078,1355.1838244628907,4805.36865234375,11696.720703125
