repr_type,baseline,family,quality_tier,n_words,mean_delta_jaccard,median_delta_jaccard,wilcoxon_stat,p_value
pre_lmhead_contextual,en_100m,en_nld,high,583,0.009150033265689668,0.0,47342.5,0.005325916752020536
pre_lmhead_contextual,en_100m,en_nld,medium,270,0.015873351323171126,0.0,8261.5,0.00035148978643130877
pre_lmhead_contextual,en_100m,en_nld,low,147,0.021861261384267177,0.021258503401360596,2169.0,0.00020281214602435894
pre_lmhead_contextual,en_100m,en_ukr,all,1000,0.021532219079299853,0.010204081632653017,112817.0,4.2417719102292786e-13
pre_lmhead_contextual,en_100m,en_ukr,high,695,0.017276980404916445,0.0,59922.5,3.871476213086549e-06
pre_lmhead_contextual,en_100m,en_ukr,medium,210,0.03103822688068986,0.020408163265306034,3770.5,3.4778982436172946e-07
pre_lmhead_contextual,en_100m,en_ukr,low,95,0.03164936897829532,0.027685492801771794,850.0,0.0005829445153980067
pre_lmhead_contextual,en_100m,en_zh,all,1000,0.007223848804096635,0.0,147058.5,0.02911554248788923
pre_lmhead_contextual,en_100m,en_zh,high,529,0.013378679502897305,0.0,38689.0,0.0018679851206804148
pre_lmhead_contextual,en_100m,en_zh,medium,312,0.00047469895427059263,0.0,14536.5,0.9676017312574398
pre_lmhead_contextual,en_100m,en_zh,low,159,-9.929098543789894e-06,0.0,4141.5,0.7874878887599198
